country,description,points,price,province,region_1,variety
US,"). Very good wine from a winery increasingly known for its red varieties, and one of the best Cabernets ever to hail from this appellation. It shows a dry, distinguished tannin structure and the concentration of flavors typical of this warm, low-yielding region, with black currant intensity. Give it a decant and drink over the next six years.",92,47,California,Rockpile,Cabernet Sauvignon
US,"100% varietal from one of Washington's most esteemed vineyards, it's tightly wound and slow to reveal its charms. Notes of clove, woodspice, raspberry and cherry re supported by firm, slightly dry tannins that need time to soften.",91,55,Washington,Horse Heaven Hills,Merlot
US,"100% varietal with the majority of the fruit coming from Weinbau Vineyard, it brings notes of plum, whole green pepper and coffee. The palate lies on the lighter side of medium bodied, fleshing out with some time open, with a lovely texture but with some grit to the tannins. Perhaps some additional time in the bottle with smooth it out.",89,30,Washington,Wahluke Slope,Cabernet Franc
US,"100% varietal, this wine exhibits aromas of dried herb, cigar box, and cherry. The flavors are tart, light and elegant, harmonizing on the finish.",89,36,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,"100% varietal, this wine reveals aromas of dark coffee, pencil lead, dried herbs and dried dark fruit. The flavors are rich and focused, showing layers of depth and intensity and a long finish. It's a hedonistic display of the variety, though at times it seems to get a bit dried out.",91,45,Washington,Red Mountain,Cabernet Sauvignon
US,"20% whole-cluster fermented, this rich, brooding blend of Alder Ridge (86%) and Snipes Mountain Grenache brings notes of licorice, dark cherry, black pepper and mortared herbs. It's broad in feel, tart, fruit filled, and tightly wound, needing time in the cellar to unfurl.",91,40,Washington,Horse Heaven Hills,Grenache
US,"2012 marks only the second vintage for winemaker Nathan Kendall, but this dry, exceptionally stony Riesling suggests a promising start already. Fermented spontaneously with indigenous yeast, it's exquisitely spry but concentrated in lime, blossom and white grapefruit notes.",90,23,New York,Finger Lakes,Riesling
US,"50% Cabernet Sauvignon and 25% Merlot with the balance Cabernet Franc and Malbec, it brings notes of brandy soaked cherry, licorice, herbs and barrel spices. The fruit flavors are plush in feel and tart with tightly wound, dry tannins.",86,33,Washington,Wahluke Slope,Bordeaux-style Red Blend
US,"A 100% Cabernet Sauvignon aged for 20 months in 40% new French oak, this wine has a brambly quality. Otherwise it's dusty and intense, offering high-impact swirls of cassis, pomegranate and dusty cocoa powder. From start to finish the wine is ripe yet juicy.",88,47,California,Chalk Hill,Cabernet Sauvignon
US,"A 100% Cabernet Sauvignon grown on the vintner's estate, this wine is holding back some of its complexity now in lieu of aging potential. Smoky oak, bay leaf, ripe raspberry, cherry and cedar tones remain elusive and subtle on the palate. This is an elegant wine, vibrant in red fruit and light spice. Cellar it through 2022.",94,140,California,Oakville,Cabernet Sauvignon
