0 : park, free, hotel, room, stay, good, breakfast, locat, clean, great
1 : orlando, airport, garden, hilton, managerhilton, stay, guest, servic, alex, blancogener
2 : disneyland, anaheim, hotel, stay, room, park, clean, walk, disney, great
3 : smell, room, dirti, hotel, carpet, stay, sheet, stain, chelsea, annex
4 : love, hotel, great, stay, room, staff, back, place, locat, time
5 : nice, pool, room, hotel, clean, good, great, stay, area, breakfast
6 : stay, great, staff, friend, help, clean, hotel, room, breakfast, locat
7 : hotel, stay, room, great, servic, staff, locat, place, restaur, breakfast
8 : desk, front, room, hotel, staff, stay, help, great, servic, breakfast
9 : room, experi, apolog, stay, guest, hotel, sorri, feedback, thank, hope
10 : airport, shuttl, hotel, philadelphia, stay, flight, room, good, breakfast, free
11 : across, street, space, hotel, room, needl, breakfast, great, includ, walk
12 : beach, ocean, hotel, locat, room, stay, great, view, walk, restaur
13 : chicago, conrad, stay, thank, hotel, room, great, forward, river, time
14 : french, quarter, orlean, hotel, room, stay, street, locat, walk, great
15 : suit, room, stay, hotel, bedroom, area, breakfast, great, comfort, time
16 : seattl, hyatt, hotel, needl, stay, space, hous, downtown, jung, guest
17 : check, room, hotel, arriv, stay, night, book, call, earli, tell
18 : western, best, diego, stay, hotel, thank, plus, room, breakfast, staff
19 : room, hotel, stay, night, small, good, floor, clean, bathroom, nois
20 : squar, union, francisco, hotel, room, locat, stay, walk, great, diva
21 : emma, ritz, hotel, carlton, stay, beauti, antonio, amaz, pearl, experi
22 : thank, stay, great, hotel, staff, time, review, share, appreci, enjoy
23 : waikiki, resort, morealoha, stay, beach, review, luana, thank, enjoy, mahalo
24 : atlanta, stay, hotel, downtown, staff, great, hampton, room, locat, area
